Station_Office_Code,Station_Code,Potential_ICAO,Station_Name,Report_Header,Dummy to deal with carriage returns
RIW,P60,KP60,Lake Yellowstone,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,RIW,KRIW,Riverton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,RKS,KRKS,Rock Springs,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,WRL,KWRL,Worland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RLX,BKW,KBKW,Beckley,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RLX,CRW,KCRW,Charleston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RLX,EKN,KEKN,Elkins,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RLX,HTS,KHTS,Huntington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RLX,PKB,KPKB,Parkersburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RNK,LWB,KLWB,Lewisburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
RNK,BLF,KBLF,Bluefield,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RNK,DAN,KDAN,Danville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RNK,LYH,KLYH,Lynchburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RNK,RNK,KRNK,Blacksburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RNK,ROA,KROA,Roanoke,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SEW,BLI,KBLI,Bellingham,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SEW,HQM,KHQM,Hoquiam,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SEW,OLM,KOLM,Olympia,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SEW,SEA,KSEA,Seattle-Tacoma,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SEW,UIL,KUIL,Quillayute Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGF,JLN,KJLN,Joplin,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGF,SGF,KSGF,Springfield,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGF,UNO,KUNO,West Plains,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGF,VIH,KVIH,Vichy/Rolla,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,SNA,KSNA,John Wayne Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,CZZ,KCZZ,Campo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,FUL,KFUL,Fullerton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,OKB,KOKB,Oceanside Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,ONT,KONT,Ontario,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,PSP,KPSP,Palm Springs,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,RAL,KRAL,Riverside,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,RNM,KRNM,Ramona,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,SAN,KSAN,San Diego,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SGX,TRM,KTRM,Thermal,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,DEQ,KDEQ,DeQueen,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,ELD,KELD,El Dorado,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,GGG,KGGG,Longview,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,LFK,KLFK,Lufkin,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,MLU,KMLU,Monroe,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,SHV,KSHV,Shreveport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,TXK,KTXK,Texarkana,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SHV,TYR,KTYR,Tyler,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SJT,ABI,KABI,Abilene,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SJT,SJT,KSJT,San Angelo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SJU,IST,KIST,Cyril E. King Airport St Thomas,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SJU,ISX,KISX,Henry E. Rohlsen Airport St Croix,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SJU,SJU,KSJU,San Juan Area,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SLC,CDC,KCDC,Cedar City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
SLC,EVW,KEVW,Evanston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
STO,MOD,KMOD,Modesto,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
STO,SAC,KSAC,Sacramento Executive,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
STO,SCK,KSCK,Stockton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TAE,DHN,KDHN,Dothan,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
TAE,VLD,KVLD,Valdosta,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
TAE,AAF,KAAF,Apalachicola,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
TAE,ABY,KABY,Albany,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TAE,TLH,KTLH,Tallahassee,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TFX,BZN,KBZN,Bozeman,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,crap
TFX,CTB,KCTB,Cut Bank,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TFX,DLN,KDLN,Dillon Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TFX,GTF,KGTF,Great Falls,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TFX,HLN,KHLN,Helena,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TFX,HVR,KHVR,Havre,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TFX,LWT,KLWT,Lewistown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TOP,EMP,KEMP,Emporia,WEATHER ITEM   OBSERVED NORMAL DEPARTURE LAST,crap
TOP,LWC,KLWC,Lawrence,WEATHER ITEM   OBSERVED NORMAL DEPARTURE LAST,crap
TOP,MHK,KMHK,Manhattan,WEATHER ITEM   OBSERVED NORMAL DEPARTURE LAST,crap
TOP,CNK,KCNK,Concordia,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TOP,TOP,KTOP,Topeka,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TSA,FYV,KFYV,Fayetteville AR Drake Field,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,crap
TSA,FSM,KFSM,Fort Smith AR Regional Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TSA,TUL,KTUL,Tulsa OK International Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TWC,DUG,KDUG,Douglas,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
TWC,TUS,KTUS,Tucson,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
UNR,UNR,KUNR,Rapid City NWS,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,crap
UNR,2WX,K2WX,Buffalo,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,CUT,KCUT,Custer,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,D07,KD07,Faith,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,GCC,KGCC,Gillette,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,ICR,KICR,Winner,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,IEN,KIEN,Pine Ridge,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,PHP,KPHP,Philip,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
UNR,RAP,KRAP,Rapid City Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
VEF,BIH,KBIH,Bishop,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
VEF,IGM,KIGM,Kingman,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
VEF,LAS,KLAS,Las Vegas,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
