Station_Office_Code,Station_Code,Station_Name,Report_Header,ICAO_CODE,latitude,longitude,elevation_m,DealWithCarraigReturn
APX,ANJ,Sault Ste. Marie,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KANJ,46.47,-84.37,218,Filler
APX,APN,Alpena,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAPN,45.07,-83.57,210,Filler
APX,HTL,Houghton Lake,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHTL,44.35,-84.67,351,Filler
APX,TVC,Traverse City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTVC,44.73,-85.57,190,Filler
BGM,AVP,Scranton/Wilkes-Barre,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAVP,41.33,-75.72,291,Filler
BGM,BGM,Binghamton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBGM,42.22,-75.98,490,Filler
BGM,SYR,Syracuse,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSYR,43.12,-76.1,127,Filler
BIS,BIS,Bismarck,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBIS,46.77,-100.75,505,Filler
BIS,DIK,Dickinson,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDIK,46.8,-102.8,788,Filler
BIS,ISN,Williston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KISN,48.17,-103.63,579,Filler
BIS,JMS,Jamestown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJMS,46.93,-98.67,455,Filler
BIS,MOT,Minot,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMOT,48.25,-101.27,519,Filler
BMX,ANB,Anniston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KANB,33.58,-85.85,183,Filler
BMX,BHM,Birmingham,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBHM,33.57,-86.75,197,Filler
BMX,EET,Shelby County Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEET,33.18,-86.78,173,Filler
BMX,MGM,Montgomery,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMGM,32.3,-86.4,63,Filler
BMX,TCL,Tuscaloosa,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTCL,33.22,-87.62,49,Filler
BMX,TOI,Troy,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTOI,31.85,-86.02,118,Filler
BOI,MUO,Mountain Home,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE,KMUO,43.03,-115.87,913,Filler
BOI,REO,Rome,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KREO,42.58,-117.87,1235,Filler
BOI,TWF,Twin Falls,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KTWF,42.48,-114.48,1266,Filler
BOI,BOI,Boise,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL  LAST,KBOI,43.57,-116.23,875,Filler
BOI,BKE,Baker City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBKE,44.85,-117.82,1024,Filler
BOI,JER,Jerome,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJER,42.72,-114.45,1222,Filler
BOI,MYL,McCall,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMYL,44.9,-116.1,1533,Filler
BOI,ONO,Ontario,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KONO,44.02,-117.02,667,Filler
BOU,LIC,Limon,WEATHER ITEM   OBSERVED NORMAL DEPARTURE LAST,KLIC,39.27,-103.67,1630,Filler
BOU,APA,Centennial,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,KAPA,39.57,-104.85,1775,Filler
BOU,AKO,Akron,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAKO,40.17,-103.22,1421,Filler
BOU,DEN,Denver,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDEN,39.85,-104.65,1640,Filler
BOX,BDL,Hartford (Bradley Airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBDL,41.93,-72.68,60,Filler
BOX,BOS,Boston (Logan Airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBOS,42.37,-71.02,6,Filler
BOX,ORH,Worcester,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KORH,42.27,-71.87,304,Filler
BOX,PVD,Providence( T.F. Green Airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPVD,41.72,-71.43,16,Filler
BRO,BRO,Brownsville Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBRO,25.92,-97.42,7,Filler
BRO,HRL,Harlingen Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHRL,26.23,-97.65,10,Filler
BRO,MFE,McAllen Miller Intl Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMFE,26.18,-98.25,38,Filler
BTV,MVL,Morrisville,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KMVL,44.53,-72.62,234,Filler
BTV,PBG,Plattsburgh,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KPBG,44.65,-73.47,72,Filler
BTV,RUT,Rutland,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KRUT,43.52,-72.95,240,Filler
BTV,SLK,Saranac Lake,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KSLK,44.4,-74.2,498,Filler
BTV,VSF,Springfield,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KVSF,43.35,-72.52,175,Filler
BTV,1V4,St. Johnsbury,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,K1V4,44.42,-72.02,210,Filler
BTV,BTV,Burlington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBTV,44.47,-73.15,105,Filler
BTV,MPV,Montpelier,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMPV,44.2,-72.57,343,Filler
BTV,MSS,Massena,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMSS,44.93,-74.85,66,Filler
BUF,ART,Watertown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KART,43.98,-76.03,100,Filler
BUF,BUF,Buffalo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBUF,42.93,-78.73,211,Filler
BUF,ROC,Rochester,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KROC,43.12,-77.68,178,Filler
BYZ,BIL,Billings,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,KBIL,45.8,-108.55,1091,Filler
BYZ,LVM,Livingston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLVM,45.7,-110.43,1418,Filler
BYZ,MLS,Miles City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMLS,46.43,-105.88,801,Filler
BYZ,SHR,Sheridan,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSHR,44.77,-106.97,1202,Filler
CAE,CUB,Hamilton-Owens Airport,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KCUB,33.97,-81,56,Filler
CAE,DNL,Augusta Daniel Field,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KDNL,33.47,-82.03,130,Filler
CAE,OGB,Orangeburg Airport,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KOGB,33.47,-80.85,59,Filler
CAE,AGS,Augusta Regional Bush Field,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAGS,33.37,-81.97,44,Filler
CAE,CAE,Columbia Metro Airport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCAE,33.93,-81.12,70,Filler
CAR,BGR,Bangor,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBGR,44.8,-68.82,57,Filler
CAR,CAR,Caribou,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCAR,46.87,-68.02,191,Filler
CAR,FVE,Frenchville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFVE,47.28,-68.3,301,Filler
CAR,HUL,Houlton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHUL,46.12,-67.8,150,Filler
CAR,MLT,Millinocket,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMLT,45.65,-68.7,123,Filler
CHS,CHS,Charleston,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCHS,32.9,-80.03,13,Filler
CHS,SAV,Savannah,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSAV,32.12,-81.2,14,Filler
CLE,CAK,Akron/Canton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCAK,40.92,-81.45,377,Filler
CLE,CLE,Cleveland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCLE,41.42,-81.85,233,Filler
CLE,ERI,Erie,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KERI,42.08,-80.18,222,Filler
CLE,MFD,Mansfield,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMFD,40.82,-82.52,395,Filler
CLE,TOL,Toledo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTOL,41.58,-83.8,210,Filler
CLE,YNG,Youngstown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KYNG,41.25,-80.67,360,Filler
CRP,CRP,Corpus Christi,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCRP,27.77,-97.5,14,Filler
CRP,VCT,Victoria,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KVCT,28.87,-96.93,31,Filler
CTP,AOO,Altoona,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAOO,40.3,-78.32,455,Filler
CTP,BFD,Bradford,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBFD,41.8,-78.63,647,Filler
CTP,IPT,Williamsport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KIPT,41.25,-76.92,164,Filler
CTP,JST,Johnstown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KJST,40.32,-78.83,694,Filler
CTP,MDT,Harrisburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMDT,40.2,-76.77,95,Filler
CYS,AIA,Alliance,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAIA,42.05,-102.8,1196,Filler
CYS,BFF,Scottsbluff,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBFF,41.87,-103.58,1203,Filler
CYS,CDR,Chadron,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCDR,42.83,-103.1,1010,Filler
CYS,CYS,Cheyenne,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCYS,41.15,-104.8,1868,Filler
CYS,DGW,Douglas,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDGW,42.8,-105.38,1499,Filler
CYS,LAR,Laramie,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLAR,41.32,-105.67,2216,Filler
CYS,RWL,Rawlins,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRWL,41.78,-107.2,2077,Filler
CYS,SNY,Sidney,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSNY,41.1,-102.98,1307,Filler
CYS,TOR,Torrington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KTOR,42.07,-104.15,1277,Filler
DDC,GCK,GARDEN CITY,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGCK,37.92,-100.72,877,Filler
DDC,P28,MEDICINE LODGE,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KP28,37.28,-98.55,469,Filler
DLH,DLH,Duluth,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDLH,46.85,-92.2,435,Filler
DLH,EAU,Eau Claire,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEAU,44.87,-91.47,276,Filler
DLH,GRB,Green Bay,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGRB,44.48,-88.13,208,Filler
DLH,INL,International Fall,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KINL,48.57,-93.4,360,Filler
DLH,MSP,Minneapolis,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMSP,44.88,-93.23,265,Filler
DLH,STC,St Cloud,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSTC,45.55,-94.05,314,Filler
DMX,ALO,Waterloo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KALO,42.55,-92.4,264,Filler
DMX,AMW,Ames,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAMW,41.98,-93.62,279,Filler
DMX,DSM,Des Moines,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDSM,41.53,-93.67,295,Filler
DMX,EST,Estherville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEST,43.4,-94.75,401,Filler
DMX,LWD,Lamoni,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KLWD,40.63,-93.9,346,Filler
DMX,MCW,Mason City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMCW,43.15,-93.33,369,Filler
DMX,MIW,Marshalltown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMIW,42.12,-92.92,296,Filler
DMX,OTM,Ottumwa,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KOTM,41.1,-92.45,256,Filler
DTX,MBS,Saginaw,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KMBS,43.53,-84.08,202,Filler
DTX,DTW,Detroit,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDTW,42.23,-83.33,195,Filler
DTX,FNT,Flint,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFNT,42.97,-83.75,233,Filler
DVN,BRL,Burlington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KBRL,40.77,-91.13,211,Filler
DVN,CID,Cedar Rapids,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCID,41.88,-91.72,264,Filler
DVN,DBQ,Dubuque,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDBQ,42.4,-90.7,326,Filler
DVN,DVN,Davenport,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDVN,41.62,-90.58,230,Filler
DVN,IOW,Iowa City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KIOW,41.63,-91.55,198,Filler
DVN,MLI,Moline,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMLI,41.45,-90.52,184,Filler
EAX,DMO,Sedalia,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KDMO,38.72,-93.17,274,Filler
EAX,IRK,Kirksville,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KIRK,40.1,-92.55,293,Filler
EAX,OJC,Johnson County (KS) Executive,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KOJC,38.85,-94.73,326,Filler
EAX,MCI,Kansas City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMCI,39.3,-94.73,320,Filler
EAX,STJ,St Joseph,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSTJ,39.77,-94.92,247,Filler
EKA,RDD,Redding,WEATHER ITEM   OBSERVED RECORD YEAR NORMAL DEPARTURE LAST,KRDD,40.52,-122.3,155,Filler
EKA,CEC,Crescent City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCEC,41.77,-124.22,17,Filler
EKA,UKI,Ukiah,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KUKI,39.12,-123.2,187,Filler
EPZ,ELP,El Paso International Apt,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KELP,31.82,-106.38,1197,Filler
EWX,ATT,Austin Mabry,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KATT,30.32,-97.77,201,Filler
EWX,AUS,Austin Bergstrom International Airp,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KAUS,30.18,-97.68,166,Filler
EWX,DRT,Del Rio,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KDRT,29.37,-100.92,313,Filler
EWX,SAT,San Antonio,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE,KSAT,29.53,-98.47,243,Filler
FFC,AHN,Athens,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KAHN,33.95,-83.33,244,Filler
FFC,ATL,Atlanta,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KATL,33.63,-84.45,296,Filler
FFC,CSG,Columbus,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCSG,32.52,-84.95,135,Filler
FFC,FFC,Peachtree City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFFC,33.35,-84.57,262,Filler
FFC,FTY,Fulton County Airport (Georgia),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFTY,33.78,-84.52,263,Filler
FFC,GVL,Gainesville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGVL,34.27,-83.83,386,Filler
FFC,MCN,Macon,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMCN,32.68,-83.65,109,Filler
FFC,PDK,DeKalb Peachtree Airport (Georgia),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPDK,33.88,-84.3,302,Filler
FFC,RMG,Rome,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KRMG,34.35,-85.17,193,Filler
FFC,VPC,Cartersville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KVPC,34.13,-84.85,222,Filler
FGF,GFK,Grand Forks,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGFK,47.95,-97.18,258,Filler
FGZ,FLG,Flagstaff,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KFLG,35.13,-111.67,2134,Filler
FGZ,INW,Winslow,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KINW,35.03,-110.72,1490,Filler
FGZ,PRC,Prescott,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KPRC,34.65,-112.42,1524,Filler
FSD,MHE,Mitchell,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMHE,43.77,-98.02,397,Filler
FSD,SUX,Sioux City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KSUX,42.38,-96.38,338,Filler
FWD,ACT,Waco,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KACT,31.62,-97.23,151,Filler
FWD,DFW,Dallas/Fort Worth,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDFW,32.9,-97.02,174,Filler
GGW,GGW,Glasgow,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGGW,48.22,-106.62,694,Filler
GID,EAR,Kearney,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KEAR,40.72,-99,649,Filler
GID,ODX,Ord,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,KODX,41.62,-98.95,631,Filler
GID,GRI,Grand Island,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGRI,40.97,-98.32,561,Filler
GID,HSI,Hastings,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KHSI,40.6,-98.43,591,Filler
GJT,ASE,Aspen,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KASE,39.23,-106.87,2354,Filler
GJT,CAG,Craig,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCAG,40.5,-107.52,1887,Filler
GJT,CEZ,Cortez,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCEZ,37.3,-108.63,1797,Filler
GJT,CNY,Moab,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KCNY,38.77,-109.75,1390,Filler
GJT,DRO,Durango (airport),WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KDRO,37.15,-107.77,2035,Filler
GJT,EEO,Meeker,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KEEO,40.05,-107.88,1930,Filler
GJT,GJT,Grand Junction,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KGJT,39.12,-108.52,1475,Filler
GJT,MTJ,Montrose,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,KMTJ,38.5,-107.9,1750,Filler
