station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type
KSFZ,2015-03-13T08:15:00Z,-6.0,-17.0,320,4,,10.0,30.569881,,,,CLR,,,,,,,,SPECI
KSFM,2015-03-13T08:15:00Z,-13.0,-19.0,200,3,,10.0,30.561024,,,,CLR,,,,,,,,SPECI
KSDY,2015-03-13T08:15:00Z,7.0,-1.0,270,12,,10.0,30.188976,,,,CLR,,,,,,,,SPECI
KRZT,2015-03-13T08:15:00Z,6.0,-5.0,200,3,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KRUT,2015-03-13T08:15:00Z,-11.0,-14.0,120,5,,10.0,30.569881,,,,CLR,,,,,,,,SPECI
KRQO,2015-03-13T08:15:00Z,6.0,5.0,70,3,,,30.079725,,,,,,,,,,,,SPECI
KRKD,2015-03-13T08:15:00Z,-9.0,-18.0,310,4,,10.0,30.519686,,,,CLR,,,,,,,,SPECI
KRBW,2015-03-13T08:15:00Z,12.0,0.0,70,12,16,10.0,30.389763,,,,BKN,2600,OVC,3100,,,,,SPECI
KPWT,2015-03-13T08:15:00Z,9.0,8.0,20,4,,10.0,30.318897,,,,CLR,,,,,,,,SPECI
KPWG,2015-03-13T08:15:00Z,13.0,10.0,330,5,,10.0,30.02067,,,,OVC,1100,,,,,,,SPECI
KPVU,2015-03-13T08:15:00Z,3.0,1.0,90,5,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
KPVG,2015-03-13T08:15:00Z,-2.0,-4.0,0,0,,10.0,30.569881,,,,CLR,,,,,,,,SPECI
KPVF,2015-03-13T08:15:00Z,13.0,7.0,120,6,,10.0,30.221457,,,,CLR,,,,,,,,SPECI
KPVE,2015-03-13T08:15:00Z,14.0,12.0,140,3,,10.0,30.15059,,,,SCT,7000,OVC,9000,,,,,METAR
KPVC,2015-03-13T08:15:00Z,-3.0,-13.0,320,14,,10.0,30.590551,,,,CLR,,,,,,,,SPECI
KPTV,2015-03-13T08:15:00Z,12.0,8.0,90,6,,10.0,30.180119,,,,CLR,,,,,,,,SPECI
KPTN,2015-03-13T08:15:00Z,19.0,18.0,210,8,,10.0,30.0,,,,SCT,400,OVC,1900,,,,,SPECI
KPSO,2015-03-13T08:15:00Z,3.9,-3.5,0,0,,10.0,30.268702,,,,SCT,12000,,,,,,,SPECI
KPRX,2015-03-13T08:15:00Z,13.0,11.0,10,6,,10.0,30.0,,,,OVC,300,,,,,,,SPECI
KPQI,2015-03-13T08:15:00Z,-14.0,-22.0,330,5,,10.0,30.410433,,,,CLR,,,,,,,,SPECI
KPIB,2015-03-13T08:15:00Z,20.0,18.0,150,10,,10.0,30.079725,,,,BKN,600,OVC,1500,,,,,SPECI
KPHT,2015-03-13T08:15:00Z,14.0,12.0,140,9,,10.0,30.15059,,,,BKN,3000,OVC,6000,,,,,METAR
KPAN,2015-03-13T08:15:00Z,10.0,1.0,70,5,,10.0,30.159449,,,,CLR,,,,,,,,SPECI
KOXC,2015-03-13T08:15:00Z,-4.0,-18.0,340,5,,10.0,30.590551,,,,CLR,,,,,,,,SPECI
KOWA,2015-03-13T08:15:00Z,8.0,5.0,170,13,18,7.0,30.079725,,,,CLR,,,,,,,,SPECI
KOTH,2015-03-13T08:15:00Z,12.0,12.0,0,0,,3.0,30.180119,,,,CLR,,,,,,,,SPECI
KOTG,2015-03-13T08:15:00Z,9.0,1.0,230,12,,10.0,30.088583,,,,CLR,,,,,,,,SPECI
KCIU,2015-03-13T08:15:00Z,-1.0,-2.0,120,12,,10.0,30.28937,,,,OVC,8000,,,,,,,SPECI
KCIC,2015-03-13T08:15:00Z,13.0,8.0,0,0,,10.0,30.138779,,,,CLR,,,,,,,,SPECI
KCGZ,2015-03-13T08:15:00Z,19.0,2.0,40,9,,10.0,29.949802,,,,CLR,,,,,,,,SPECI
KCDN,2015-03-13T08:15:00Z,13.0,-2.0,70,9,,10.0,30.46063,,,,OVC,6000,,,,,,,SPECI
KBVX,2015-03-13T08:15:00Z,14.0,13.0,0,0,,0.5,30.070866,,,,OVC,400,,,,,,,SPECI
KBVU,2015-03-13T08:15:00Z,18.0,2.0,10,6,,10.0,30.180119,,,,CLR,,,,,,,,SPECI
KBTP,2015-03-13T08:15:00Z,1.0,-10.0,100,6,,10.0,30.43996,,,,CLR,,,,,,,,SPECI
KBOW,2015-03-13T08:15:00Z,22.0,17.0,80,8,,10.0,30.180119,,,,BKN,7500,,,,,,,SPECI
KBNL,2015-03-13T08:15:00Z,14.0,2.0,70,9,,10.0,30.389763,,,,BKN,3300,,,,,,,SPECI
KBLM,2015-03-13T08:15:00Z,0.0,-14.0,10,5,,10.0,30.578741,,,,CLR,,,,,,,,SPECI
KBID,2015-03-13T08:15:00Z,-2.0,-12.0,,,,10.0,30.590551,,,,CLR,,,,,,,,SPECI
KBHB,2015-03-13T08:15:00Z,-9.0,-18.0,310,5,,10.0,30.499016,,,,CLR,,,,,,,,SPECI
KBGF,2015-03-13T08:15:00Z,14.0,11.0,140,17,,10.0,30.230314,,,,FEW,7000,OVC,9500,,,,,METAR
KBDN,2015-03-13T08:15:00Z,2.0,0.0,0,0,,10.0,30.318897,,,,CLR,,,,,,,,SPECI
KBBP,2015-03-13T08:15:00Z,11.0,,70,9,,10.0,30.481298,,,,OVC,9500,,,,,,,SPECI
KAWO,2015-03-13T08:15:00Z,6.0,3.0,0,0,,10.0,30.339567,,,,CLR,,,,,,,,SPECI
KAUO,2015-03-13T08:15:00Z,13.0,9.0,100,13,21,10.0,30.280512,,,,OVC,1600,,,,,,,SPECI
KATS,2015-03-13T08:15:00Z,6.0,0.0,0,0,,10.0,30.109253,,,,CLR,,,,,,,,SPECI
KARW,2015-03-13T08:15:00Z,14.0,10.0,60,13,22,10.0,30.351377,,,,OVC,2200,,,,,,,SPECI
KARG,2015-03-13T08:15:00Z,13.0,12.0,10,5,,3.0,30.079725,,,,OVC,800,,,,,,,SPECI
KAQX,2015-03-13T08:15:00Z,14.0,2.0,0,6,,10.0,30.369095,,,,OVC,2400,,,,,,,SPECI
KAIZ,2015-03-13T08:15:00Z,11.0,9.0,50,6,,4.0,30.138779,,,,BKN,2900,OVC,3900,,,,,SPECI
KAIK,2015-03-13T08:15:00Z,13.0,-1.0,80,10,,10.0,30.431103,,,,OVC,4100,,,,,,,SPECI
KAFJ,2015-03-13T08:15:00Z,-2.0,-5.0,0,0,,10.0,30.41929,,,,CLR,,,,,,,,SPECI
KAEG,2015-03-13T08:15:00Z,7.8,-4.2,350,7,,10.0,30.15059,,,,CLR,,,,,,,,SPECI
K7N0,2015-03-13T08:15:00Z,,,130,4,,,30.02067,,,,,,,,,,,,SPECI
K6L4,2015-03-13T08:15:00Z,13.0,-4.0,0,7,,10.0,30.280512,,,,FEW,5000,SCT,9000,BKN,12000,,,SPECI
K42J,2015-03-13T08:15:00Z,20.0,20.0,80,4,,4.0,30.221457,,,,OVC,300,,,,,,,SPECI
K1P1,2015-03-13T08:15:00Z,-6.7,-13.7,280,7,,10.0,30.549213,,,,CLR,,,,,,,,SPECI
K0A9,2015-03-13T08:15:00Z,11.0,-3.0,80,7,,10.0,30.398623,,,,OVC,6000,,,,,,,METAR
KLBE,2015-03-13T08:15:00Z,0.0,-5.0,0,0,,10.0,30.448818,,,,CLR,,,,,,,,SPECI
KKLS,2015-03-13T08:15:00Z,8.0,5.0,0,0,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KJVW,2015-03-13T08:15:00Z,20.0,17.0,120,7,,9.0,30.029528,,,,SCT,1400,BKN,3300,,,,,SPECI
KJHW,2015-03-13T08:15:00Z,-2.0,-13.0,140,4,,10.0,30.448818,,,,CLR,,,,,,,,SPECI
KJHN,2015-03-13T08:15:00Z,3.3,-1.8,200,4,,10.0,30.138779,,,,CLR,,,,,,,,METAR
KJFX,2015-03-13T08:15:00Z,16.0,14.0,100,5,,10.0,30.188976,,,,OVC,1800,,,,,,,SPECI
KJAC,2015-03-13T08:15:00Z,-3.0,-3.0,0,0,,10.0,30.43996,,,,CLR,,,,,,,,SPECI
KIWD,2015-03-13T08:15:00Z,8.0,-1.0,190,3,,10.0,30.041338,,,,CLR,,,,,,,,SPECI
KIMM,2015-03-13T08:15:00Z,,,0,0,,7.0,30.138779,,,,CLR,,,,,,,,SPECI
KILE,2015-03-13T08:15:00Z,13.0,10.0,340,5,,10.0,30.0,,,,OVC,600,,,,,,,SPECI
KIDI,2015-03-13T08:15:00Z,1.0,-9.0,100,4,,10.0,30.481298,,,,CLR,,,,,,,,SPECI
KI67,2015-03-13T08:15:00Z,5.0,0.0,0,0,,10.0,30.280512,,,,CLR,,,,,,,,SPECI
KHYW,2015-03-13T08:15:00Z,11.0,-1.0,40,9,,7.0,30.46063,,,,OVC,7500,,,,,,,SPECI
KHYS,2015-03-13T08:15:00Z,5.0,-2.0,0,0,,10.0,30.15059,,,,CLR,,,,,,,,SPECI
KHYI,2015-03-13T08:15:00Z,12.0,10.0,350,7,,10.0,30.008858,,,,CLR,,,,,,,,SPECI
KHXD,2015-03-13T08:15:00Z,14.0,9.0,20,11,22,10.0,30.360237,,,,OVC,1700,,,,,,,SPECI
KHVS,2015-03-13T08:15:00Z,11.0,-1.0,90,7,,10.0,30.481298,,,,OVC,6000,,,,,,,SPECI
KHOB,2015-03-13T08:15:00Z,5.0,0.0,280,5,,10.0,30.121063,,,,CLR,,,,,,,,SPECI
KHNB,2015-03-13T08:15:00Z,12.0,2.0,120,10,,10.0,30.209646,,,,CLR,,,,,,,,SPECI
KHEZ,2015-03-13T08:15:00Z,19.0,17.0,130,5,,10.0,30.0,,,,BKN,1300,OVC,2000,,,,,SPECI
KHDN,2015-03-13T08:15:00Z,2.0,-2.0,120,7,,10.0,30.360237,,,,FEW,11000,,,,,,,SPECI
KGXY,2015-03-13T08:15:00Z,8.0,-1.0,330,6,,10.0,30.301182,,,,SCT,7500,,,,,,,SPECI
