station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KY23,2015-03-13T08:35:00Z,6.7,3.5,140,5,,10.0,30.070866,,,,CLR,,,,,,,,SPECI, AO2 T00670035
KWWR,2015-03-13T08:35:00Z,6.0,1.0,0,0,,10.0,30.129921,,,,CLR,,,,,,,,SPECI, AO2
KW99,2015-03-13T08:35:00Z,-1.5,-4.1,0,0,,10.0,30.519686,,,,CLR,,,,,,,,SPECI, AO2 T10151041
KW78,2015-03-13T08:35:00Z,6.2,-2.5,0,0,,10.0,30.549213,,,,OVC,9000,,,,,,,SPECI, AO1 T00621025
KW22,2015-03-13T08:35:00Z,8.0,-6.0,100,4,,10.0,30.369095,,,,CLR,,,,,,,,SPECI, AO2
KW13,2015-03-13T08:35:00Z,5.5,-6.8,120,5,,10.0,30.510826,,,,CLR,,,,,,,,SPECI, AO1 T00551068
KVYS,2015-03-13T08:35:00Z,4.2,0.7,100,4,,10.0,30.250984,,,,CLR,,,,,,,,SPECI, AO2 T00420007
KVVG,2015-03-13T08:35:00Z,20.0,20.0,0,0,,6.0,30.100393,,,BR,,,,,,,,,SPECI, A01
KVUJ,2015-03-13T08:35:00Z,10.3,-2.6,70,6,,10.0,30.540354,,,,BKN,7500,OVC,9000,,,,,SPECI, AO2 T01031026
KVNC,2015-03-13T08:35:00Z,20.0,20.0,90,6,,10.0,30.15059,,,,BKN,8500,,,,,,,SPECI, AO2
KVJI,2015-03-13T08:35:00Z,8.2,4.3,100,9,,10.0,30.398623,,,-RA,OVC,5000,,,,,,,SPECI, AO2 P0002 T00820043
KVES,2015-03-13T08:35:00Z,3.0,-2.0,120,4,,10.0,30.280512,,,,CLR,,,,,,,,SPECI, AO2
KVER,2015-03-13T08:35:00Z,11.3,11.3,80,3,,2.5,30.159449,,,RA,SCT,8000,SCT,9000,OVC,11000,,,SPECI, AO2 P0003 T01130113
KUXL,2015-03-13T08:35:00Z,16.6,16.5,170,10,,10.0,29.958662,,,-RA,OVC,700,,,,,,,SPECI, AO2 P0001 T01660165
KUNU,2015-03-13T08:35:00Z,1.5,-1.8,140,5,,10.0,30.239174,,,,CLR,,,,,,,,SPECI, AO2 T00151018
KUNI,2015-03-13T08:35:00Z,,,0,0,,10.0,30.33071,,,,CLR,,,,,,,,SPECI, AO2
KUKF,2015-03-13T08:35:00Z,8.0,0.0,10,5,,10.0,30.540354,,,,OVC,7000,,,,,,,SPECI, AO2
KUBE,2015-03-13T08:35:00Z,7.0,3.0,200,8,,10.0,30.050198,,,,CLR,,,,,,,,SPECI, AO2
KU68,2015-03-13T08:35:00Z,3.0,-4.0,230,4,,10.0,30.369095,,,,CLR,,,,,,,,SPECI, AO2
KTVK,2015-03-13T08:35:00Z,7.0,7.0,120,6,,10.0,30.188976,,,,CLR,,,,,,,,SPECI, AO2
KTVI,2015-03-13T08:35:00Z,16.0,16.0,90,7,,7.0,30.230314,,,,OVC,800,,,,,,,SPECI, AO2
KTRK,2015-03-13T08:35:00Z,-2.0,-3.0,0,0,,10.0,30.380905,,,,CLR,,,,,,,,SPECI, AO2
KTNU,2015-03-13T08:35:00Z,5.0,5.0,140,7,,2.5,30.171259,,,BR,CLR,,,,,,,,SPECI, AO2
KTIP,2015-03-13T08:35:00Z,5.3,1.4,50,5,,10.0,30.239174,,,,SCT,12000,,,,,,,SPECI, AO2 T00530014
KTIF,2015-03-13T08:35:00Z,10.7,0.0,340,8,,10.0,30.200787,,,,CLR,,,,,,,,SPECI, AO2 T01070000
KEXX,2015-03-13T08:35:00Z,10.3,-1.4,80,5,,10.0,30.490158,,,,OVC,7500,,,,,,,SPECI, AO2 T01031014
KEOE,2015-03-13T08:35:00Z,13.0,1.0,80,4,,10.0,30.448818,,,,OVC,5000,,,,,,,SPECI, AO2
KEMV,2015-03-13T08:35:00Z,0.0,-1.0,50,3,,10.0,30.569881,,,,CLR,,,,,,,,SPECI, AO2
KELA,2015-03-13T08:35:00Z,14.1,13.5,270,4,,10.0,29.970472,,,,OVC,1800,,,,,,,METAR, AO2 T01410135
KEFT,2015-03-13T08:35:00Z,3.0,1.0,180,7,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2
KE11,2015-03-13T08:35:00Z,6.1,0.9,0,0,,10.0,30.100393,,,,CLR,,,,,,,,SPECI, AO2 T00610009
KDTA,2015-03-13T08:35:00Z,4.9,0.9,40,6,,10.0,30.339567,,,,CLR,,,,,,,,SPECI, AO1 T00490009
KDNN,2015-03-13T08:35:00Z,15.0,7.0,130,5,16,10.0,30.301182,,,,BKN,3900,OVC,5000,,,,,SPECI, AO2
KD25,2015-03-13T08:35:00Z,5.0,1.1,180,7,,10.0,30.079725,,,,SCT,11000,,,,,,,SPECI, AO2 T00500011
KCXE,2015-03-13T08:35:00Z,6.1,-2.5,0,0,,10.0,30.540354,,,,BKN,9000,,,,,,,SPECI, AO1 T00611025
KCVB,2015-03-13T08:35:00Z,9.8,9.2,310,6,,10.0,30.02067,,,,CLR,,,,,,,,SPECI, AO2 T00980092
KCMY,2015-03-13T08:35:00Z,6.7,3.3,220,4,,7.0,30.180119,,,,CLR,,,,,,,,SPECI, AO2 T00670033
KCKP,2015-03-13T08:35:00Z,6.3,1.0,220,5,,10.0,30.129921,,,,CLR,,,,,,,,SPECI, AO2 T00630010
KCJR,2015-03-13T08:35:00Z,-1.0,-3.0,0,0,,10.0,30.578741,,,,CLR,,,,,,,,SPECI, AO2
KCDH,2015-03-13T08:35:00Z,13.0,12.0,0,0,,1.0,29.97933,,,BR,OVC,100,,,,,,,SPECI, AO2
KCBK,2015-03-13T08:35:00Z,10.0,2.0,200,9,,10.0,30.15059,,,,CLR,,,,,,,,SPECI, AO2
KC75,2015-03-13T08:35:00Z,2.0,0.4,40,3,,7.0,30.230314,,,,CLR,,,,,,,,SPECI, AO2 T00200004
KBXK,2015-03-13T08:35:00Z,17.0,4.0,350,8,,10.0,29.97933,,,,CLR,,,,,,,,SPECI, AO1
KBWD,2015-03-13T08:35:00Z,6.0,5.0,330,3,,10.0,30.029528,,,,CLR,,,,,,,,SPECI, AO2
KBQP,2015-03-13T08:35:00Z,18.3,18.0,100,5,,5.0,29.991142,,,BR,SCT,200,BKN,4000,OVC,7000,,,SPECI, AO2 P0001 T01830180
KBQK,2015-03-13T08:35:00Z,16.0,15.0,40,11,18,7.0,30.280512,,,,OVC,600,,,,,,,SPECI, AO1
KBPG,2015-03-13T08:35:00Z,7.7,3.5,0,0,,10.0,30.088583,,,,CLR,,,,,,,,SPECI, AO2 T00770035
KBMC,2015-03-13T08:35:00Z,5.0,1.4,310,4,,10.0,30.380905,,,,CLR,,,,,,,,SPECI, AO1 T00500014
KARV,2015-03-13T08:35:00Z,5.3,2.0,180,8,,10.0,30.088583,,,,SCT,9500,,,,,,,SPECI, AO2 T00530020
KAQR,2015-03-13T08:35:00Z,12.0,11.0,10,3,,10.0,30.029528,,,,BKN,900,OVC,1200,,,,,SPECI, AO2
KAQO,2015-03-13T08:35:00Z,8.0,7.0,0,0,,10.0,30.050198,,,,CLR,,,,,,,,SPECI, AO2
KAFO,2015-03-13T08:35:00Z,-4.0,-5.0,0,0,,10.0,30.43996,,,,CLR,,,,,,,,SPECI, AO2
KADM,2015-03-13T08:35:00Z,10.9,10.3,340,4,,10.0,30.029528,,,,CLR,,,,,,,,SPECI, AO2 T01090103
KA08,2015-03-13T08:35:00Z,19.2,17.8,120,8,16,10.0,30.121063,,,,OVC,1000,,,,,,,METAR, AO2 T01920178
K9V9,2015-03-13T08:35:00Z,8.4,-0.5,320,7,,10.0,30.15059,,,,CLR,,,,,,,,SPECI, AO2 T00841005
K8A0,2015-03-13T08:35:00Z,13.0,13.0,110,11,25,5.0,30.230314,,,RA,OVC,900,,,,,,,SPECI, AO2 P0002
K5H4,2015-03-13T08:35:00Z,0.0,0.0,300,9,,0.25,30.088583,,,FG,OVC,100,,,,,,,SPECI, AO2
K3K3,2015-03-13T08:35:00Z,3.0,0.0,10,8,,10.0,30.171259,,,,CLR,,,,,,,,METAR, AO2
K3AU,2015-03-13T08:35:00Z,7.0,2.0,50,4,,10.0,30.129921,,,,CLR,,,,,,,,METAR, AO2
K0F2,2015-03-13T08:35:00Z,8.3,8.3,330,4,,0.5,30.029528,,,FG,BKN,200,,,,,,,SPECI, AO2 VIS 1/4V4 T00830083
KPVW,2015-03-13T08:35:00Z,4.3,1.4,360,3,,10.0,30.109253,,,,SCT,10000,,,,,,,SPECI, AO2 T00430014
KPSK,2015-03-13T08:35:00Z,7.1,-0.1,120,4,,10.0,30.490158,,,,BKN,11000,,,,,,,SPECI, AO2 T00711001
KPRS,2015-03-13T08:35:00Z,14.0,1.8,30,4,,10.0,30.050198,,,,CLR,,,,,,,,SPECI, AO2 T01400018
KPPA,2015-03-13T08:35:00Z,4.4,1.3,210,6,,10.0,30.129921,,,,CLR,,,,,,,,SPECI, AO2 T00440013
KOOA,2015-03-13T08:35:00Z,4.8,4.1,150,9,,1.25,30.180119,,,BR,OVX,0,,,,,,,SPECI, AO2 T00480041
KOLY,2015-03-13T08:35:00Z,8.0,5.0,50,4,,7.0,30.209646,,,RA,BKN,3500,OVC,4300,,,,,SPECI, AO2
KNY0,2015-03-13T08:35:00Z,-8.9,-15.9,0,0,,10.0,30.561024,,,,CLR,,,,,,,,SPECI, AO2 T10891159
KMWK,2015-03-13T08:35:00Z,10.2,-0.8,0,0,,,30.510826,,,,BKN,9500,OVC,12000,,,,,SPECI, AO2 T01021008 PWINO
KMPZ,2015-03-13T08:35:00Z,5.6,4.0,100,3,,7.0,30.200787,,,,CLR,,,,,,,,SPECI, AO2 T00560040
KMKJ,2015-03-13T08:35:00Z,9.5,-4.0,80,8,,10.0,30.469488,,,,BKN,9000,OVC,11000,,,,,SPECI, AO2 T00951040
KMGC,2015-03-13T08:35:00Z,3.0,-5.0,140,6,,10.0,30.28937,,,,CLR,,,,,,,,SPECI, AO2
KMDZ,2015-03-13T08:35:00Z,2.6,1.5,170,8,,5.0,30.121063,,,BR,CLR,,,,,,,,SPECI, AO2 T00260015
KMDD,2015-03-13T08:35:00Z,9.1,3.7,230,3,,10.0,30.088583,,,,CLR,,,,,,,,SPECI, AO2 T00910037
KLWB,2015-03-13T08:35:00Z,5.7,-2.9,0,0,,10.0,30.448818,,,,CLR,,,,,,,,SPECI, AO2 T00571029
KLRO,2015-03-13T08:35:00Z,12.0,6.0,30,7,,10.0,30.398623,,,,OVC,4100,,,,,,,SPECI, AO2
