No errors
No warnings
217 ms
data source=metars
4712 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
MGHT 151000Z 00000KT 3000 BR OVC018 16/15 QFE817/1,MGHT,2015-06-15T10:00:00Z,15.32,-91.5,16.0,15.0,0,0,,1.86,,,,,,,,,,,BR,OVC,1800,,,,,,,IFR,,,,,,,,,,,,METAR,1901.0
MGPB 151000Z 00000KT 9999 SCT016 BKN090 26/25 Q1010 A2983,MGPB,2015-06-15T10:00:00Z,15.72,-88.58,26.0,25.0,0,0,,6.21,29.822834,,,,,,,,,,,SCT,1600,BKN,9000,,,,,VFR,,,,,,,,,,,,METAR,10.0
SBCR 151000Z 25008KT 4000 -DZ BR BKN005 19/18 Q1015,SBCR,2015-06-15T10:00:00Z,-19.0,-57.67,19.0,18.0,250,8,,2.49,29.970472,,,,,,,,,,-DZ BR,BKN,500,,,,,,,IFR,,,,,,,,,,,,METAR,141.0
SKBQ 151000Z 07003KT CAVOK 27/26 A2980,SKBQ,2015-06-15T10:00:00Z,10.9,-74.77,27.0,26.0,70,3,,6.21,29.799213,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,10.0
ORBI 151000Z 36009KT 310V040 CAVOK 40/08 Q1002 NOSIG,ORBI,2015-06-15T10:00:00Z,33.27,44.23,40.0,8.0,360,9,,6.21,29.586615,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
SKSP 151000Z 07010KT 9999 FEW014 SCT080 28/25 A2982,SKSP,2015-06-15T10:00:00Z,12.57,-81.72,28.0,25.0,70,10,,6.21,29.819881,,,,,,,,,,,FEW,1400,SCT,8000,,,,,VFR,,,,,,,,,,,,METAR,-2.0
SKRG 151000Z 00000KT 4000 BR BKN004 BKN080 15/14 A3027,SKRG,2015-06-15T10:00:00Z,6.17,-75.42,15.0,14.0,0,0,,2.49,30.268702,,,,,,,,,,BR,BKN,400,BKN,8000,,,,,LIFR,,,,,,,,,,,,METAR,2137.0
SKCG 151000Z 15005KT 9999 FEW017 SCT200 28/26 A2976,SKCG,2015-06-15T10:00:00Z,10.43,-75.52,28.0,26.0,150,5,,6.21,29.760826,,,,,,,,,,,FEW,1700,SCT,20000,,,,,VFR,,,,,,,,,,,,METAR,1.0
SKCL 151000Z 00000KT 9999 SCT030 BKN100 21/19 A2995,SKCL,2015-06-15T10:00:00Z,3.53,-76.37,21.0,19.0,0,0,,6.21,29.949802,,,,,,,,,,,SCT,3000,BKN,10000,,,,,VFR,,,,,,,,,,,,METAR,969.0
SKBO 151000Z VRB02KT 9999 BKN020 11/10 A3031,SKBO,2015-06-15T10:00:00Z,4.7,-74.12,11.0,10.0,0,2,,6.21,30.31004,,,,,,,,,,,BKN,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,2548.0
ORSU 151000Z 27013KT CAVOK 37/M02 Q1008,ORSU,2015-06-15T10:00:00Z,35.57,45.32,37.0,-2.0,270,13,,6.21,29.763779,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,761.0
MHLM 151000Z 00000KT 9999 FEW024 BKN250 26/26 Q1010 A2983 NOSIG,MHLM,2015-06-15T10:00:00Z,15.45,-87.93,26.0,26.0,0,0,,6.21,29.822834,,,,,,TRUE,,,,,FEW,2400,BKN,25000,,,,,VFR,,,,,,,,,,,,METAR,26.0
MHLC 151000Z 00000KT 9999 FEW028 SCT200 24/23 Q1010 A2983 NOSIG,MHLC,2015-06-15T10:00:00Z,15.75,-86.85,24.0,23.0,0,0,,6.21,29.822834,,,,,,TRUE,,,,,FEW,2800,SCT,20000,,,,,VFR,,,,,,,,,,,,METAR,15.0
GVAC 151000Z 04016KT 9999 BKN014 24/19 Q1017 NOSIG,GVAC,2015-06-15T10:00:00Z,16.72,-22.93,24.0,19.0,40,16,,6.21,30.029528,,,,,,TRUE,,,,,BKN,1400,,,,,,,MVFR,,,,,,,,,,,,METAR,55.0
WADL 151000Z 14009KT 9999 SCT016 26/22 Q1010 NOSIG,WADL,2015-06-15T10:00:00Z,-8.75,116.28,26.0,22.0,140,9,,6.21,29.822834,,,,,,TRUE,,,,,SCT,1600,,,,,,,VFR,,,,,,,,,,,,METAR,97.0
SBPS 151000Z 32006KT 9999 FEW020 SCT100 23/21 Q1016,SBPS,2015-06-15T10:00:00Z,-16.43,-39.07,23.0,21.0,320,6,,6.21,30.0,,,,,,,,,,,FEW,2000,SCT,10000,,,,,VFR,,,,,,,,,,,,METAR,51.0
FMMI 151000Z VRB02KT CAVOK 21/09 Q1021 NOSIG,FMMI,2015-06-15T10:00:00Z,-18.8,47.47,21.0,9.0,0,2,,6.21,30.147638,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1276.0
ZMUB 151000Z 04003MPS 360V070 9999 SCT030CB SCT033 23/06 Q1006 NOSIG RMK QFE648.2 36 MOP,ZMUB,2015-06-15T10:00:00Z,47.83,106.78,23.0,6.0,40,6,,6.21,29.704725,,,,,,TRUE,,,,,SCT,3000,SCT,3300,,,,,VFR,,,,,,,,,,,,METAR,1330.0
MHCA 151000Z 12003KT 9999 SCT026 BKN070 24/23 Q1014 HZ,MHCA,2015-06-15T10:00:00Z,14.9,-85.78,24.0,23.0,120,3,,6.21,29.940945,,,,,,,,,,HZ,SCT,2600,BKN,7000,,,,,VFR,,,,,,,,,,,,METAR,442.0
TLPC 151000Z 09009KT 9999 FEW023 BKN280 27/23 Q1015 NOSIG,TLPC,2015-06-15T10:00:00Z,14.02,-61.0,27.0,23.0,90,9,,6.21,29.970472,,,,,,TRUE,,,,,FEW,2300,BKN,28000,,,,,VFR,,,,,,,,,,,,METAR,2.0
GQPP 151000Z 02024KT 6000 NSC 24/15 Q1016 NOSIG,GQPP,2015-06-15T10:00:00Z,20.92,-17.02,24.0,15.0,20,24,,3.73,30.0,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,METAR,3.0
SAVC 151000Z 27032G43KT CAVOK 13/01 Q0992,SAVC,2015-06-15T10:00:00Z,-45.77,-67.47,13.0,1.0,270,32,43,6.21,29.291338,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,46.0
SARP 151000Z 18004KT CAVOK 09/05 Q1021,SARP,2015-06-15T10:00:00Z,-27.38,-55.97,9.0,5.0,180,4,,6.21,30.147638,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,125.0
