station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KMCK,2015-05-22T19:36:00Z,10.0,8.9,90,9,,2.0,30.121063,,,RA BR,OVC,800,,,,,,,SPECI, AO2 CIG 005V011 P0009 T01000089
KHFF,2015-05-22T19:36:00Z,22.0,8.0,120,3,,10.0,30.209646,,TRUE,,CLR,,,,,,,,SPECI, AO2 TSNO $
KLVL,2015-05-22T19:36:00Z,22.0,7.0,310,3,,10.0,30.171259,,,,CLR,,,,,,,,SPECI, AO2
K1P1,2015-05-22T19:35:00Z,16.1,4.8,310,8,,10.0,29.840551,,,,SCT,7500,SCT,8000,SCT,10000,,,SPECI, AO2 T01610048
KMHL,2015-05-22T19:35:00Z,20.0,11.0,240,7,,10.0,30.280512,,,,SCT,12000,,,,,,,SPECI, AO2
KVDF,2015-05-22T19:35:00Z,34.0,20.0,330,4,,10.0,30.079725,,,,SCT,5000,,,,,,,SPECI, AO2
KORS,2015-05-22T19:35:00Z,14.0,11.0,170,4,,10.0,29.958662,,,,BKN,1500,,,,,,,SPECI, AO2
KM25,2015-05-22T19:35:00Z,21.0,7.0,0,0,,10.0,30.28937,,,,CLR,,,,,,,,SPECI, AO2 PWINO
KJFX,2015-05-22T19:35:00Z,26.0,11.0,330,5,,10.0,30.239174,,,,CLR,,,,,,,,SPECI, A02 P-128
KAIK,2015-05-22T19:35:00Z,25.0,7.0,320,4,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2
KAQO,2015-05-22T19:35:00Z,22.0,21.0,140,5,,5.0,30.138779,,,BR,OVC,600,,,,,,,SPECI, AO2 LTG DSNT NE
KACP,2015-05-22T19:35:00Z,24.3,18.5,80,4,,10.0,30.159449,,,,OVC,2000,,,,,,,SPECI, AO2 T02430185
KY19,2015-05-22T19:35:00Z,21.0,2.0,150,9,20,10.0,30.138779,,,,SCT,9000,,,,,,,METAR, AO2
KCKM,2015-05-22T19:35:00Z,22.0,12.0,0,0,,,30.239174,,,,CLR,,,,,,,,METAR, AO1
