KAPA,2015-05-22T13:53:00Z,8.3,6.7,230,6,,6.0,30.0,,,-RA BR,BKN,1700,BKN,3000,BKN,3600,,,METAR, AO2 SLP136 P0003 T00830067
KHPN,2015-05-22T13:56:00Z,17.2,5.6,290,11,,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO2 SLP127 T01720056
KPRG,2015-05-22T13:55:00Z,17.4,8.7,280,8,,10.0,30.200787,,,,CLR,,,,,,,,SPECI, AO2 T01740087
KQQY,2015-05-22T13:55:00Z,21.3,20.7,160,3,,6.21,30.109253,,TRUE,-RA,FEW,3500,SCT,4100,BKN,5000,,,METAR, AO2 RAB1231 SLP179 P0000 T02130207 $
KHRO,2015-05-22T13:53:00Z,12.2,9.4,160,8,,10.0,30.28937,,,,CLR,,,,,,,,METAR, AO2 SLP255 T01220094
KGXY,2015-05-22T13:55:00Z,8.0,7.0,120,13,17,5.0,30.02067,,,,OVC,600,,,,,,,METAR, AO1
KPOU,2015-05-22T13:53:00Z,17.2,6.1,0,0,,10.0,29.899607,,,,CLR,,,,,,,,METAR, AO2 SLP120 T01720061
KFAT,2015-05-22T13:53:00Z,14.4,8.3,310,10,,10.0,29.970472,,,,OVC,5500,,,,,,,METAR, AO2 SLP146 T01440083
KBMQ,2015-05-22T13:53:00Z,17.2,16.7,110,3,,2.5,30.15059,,,-RA BR,OVC,300,,,,,,,METAR, AO2 RAB18 SLP199 P0003 T01720167
KNQI,2015-05-22T13:56:00Z,26.7,26.1,90,6,,4.0,30.029528,,TRUE,BR,SCT,400,BKN,1500,BKN,16000,OVC,25000,METAR, AO2 SLP164 T2 SET T02670261 $
KCFE,2015-05-22T13:55:00Z,14.5,4.8,30,3,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T01450048
KEKN,2015-05-22T13:51:00Z,12.2,5.6,270,8,15,10.0,30.221457,,,,SCT,2600,,,,,,,METAR, AO2 SLP240 T01220056 TSNO
KGLH,2015-05-22T13:53:00Z,15.0,10.0,60,9,,10.0,30.280512,,,,CLR,,,,,,,,METAR, AO2 SLP262 T01500100
KSPD,2015-05-22T13:56:00Z,8.9,7.8,190,20,26,,30.050198,,,,,,,,,,,,METAR, AO1 PK WND 19026/1352 SLP151 T00890078
KCBF,2015-05-22T13:55:00Z,15.0,8.0,0,0,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO2
KFFA,2015-05-22T13:55:00Z,16.5,10.1,360,7,,,30.109253,,,,CLR,,,,,,,,SPECI, AO2 T01650101 PWINO
KGCK,2015-05-22T13:54:00Z,8.9,8.3,140,19,,7.0,30.121063,,,,OVC,300,,,,,,,METAR, AO2 PK WND 14027/1343 SLP193 T00890083
KSKX,2015-05-22T13:55:00Z,5.0,1.0,0,0,,10.0,30.171259,,,,OVC,1800,,,,,,,METAR, AO1
KCDS,2015-05-22T13:53:00Z,13.3,12.8,130,9,,2.5,30.15059,,,RA BR,FEW,400,BKN,3600,OVC,7000,,,METAR, AO2 LTG DSNT S SLP199 P0039 T01330128
KHOU,2015-05-22T13:53:00Z,19.4,17.8,60,10,,10.0,30.129921,,,,OVC,600,,,,,,,METAR, AO2 SLP207 T01940178
KPTB,2015-05-22T13:55:00Z,17.7,5.6,300,8,,10.0,30.159449,,,,CLR,,,,,,,,SPECI, AO2 T01770056
KPIL,2015-05-22T14:14:00Z,27.2,25.0,160,8,,6.0,30.0,,,BR,SCT,900,BKN,1400,BKN,2100,,,SPECI, AO2 T02720250
KLKV,2015-05-22T14:15:00Z,8.0,6.0,170,5,,10.0,30.0,,,,OVC,1100,,,,,,,METAR, AO1
KSFF,2015-05-22T13:53:00Z,16.7,11.1,0,3,,10.0,29.870079,,,,CLR,,,,,,,,METAR, AO2 SLP103 T01670111
KBTR,2015-05-22T13:53:00Z,18.9,15.6,70,7,,10.0,30.188976,,,,BKN,800,OVC,1600,,,,,METAR, AO2 SLP222 T01890156
K5M9,2015-05-22T13:55:00Z,15.7,8.9,220,3,,10.0,30.301182,,,,CLR,,,,,,,,SPECI, AO2 T01570089
KSAT,2015-05-22T13:51:00Z,19.4,18.3,90,5,,0.5,30.109253,,,-DZ FG,OVC,200,,,,,,,METAR, AO2 SLP180 P0000 T01940183
KFMM,2015-05-22T14:15:00Z,7.6,6.7,110,12,,10.0,30.050198,,,-RA,BKN,700,BKN,2100,OVC,3300,,,METAR, AO2 T00760067
KQFX,2015-05-22T14:10:00Z,15.0,6.0,140,2,,6.21,29.940945,,,,BKN,7000,,,,,,,METAR, A02 TSNO
KJYO,2015-05-22T13:55:00Z,17.0,8.0,280,12,16,10.0,30.121063,,,,CLR,,,,,,,,SPECI, AO2
KPSX,2015-05-22T13:53:00Z,23.9,22.2,70,12,,10.0,30.059055,,,,FEW,700,OVC,10000,,,,,METAR, AO2 LTG DSNT S SLP180 T02390222
KOKC,2015-05-22T14:08:00Z,12.8,12.8,90,10,,3.0,30.171259,,,-RA BR,FEW,1900,SCT,3100,OVC,10000,,,SPECI, AO2 PRESFR P0002 T01280128
KDXX,2015-05-22T14:13:00Z,17.0,4.0,0,0,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2
KMVY,2015-05-22T13:53:00Z,15.0,8.9,310,9,,10.0,29.828741,,,,CLR,,,,,,,,METAR, AO2 SLP102 T01500089
KCVO,2015-05-22T14:15:00Z,12.0,11.0,0,0,,10.0,30.02067,,,,BKN,2000,OVC,9500,,,,,METAR, AO1
KMFD,2015-05-22T13:52:00Z,14.4,5.6,320,12,,10.0,30.129921,,,,CLR,,,,,,,,METAR, AO2 SLP204 T01440056
KLKR,2015-05-22T14:15:00Z,18.0,5.0,40,6,,10.0,30.221457,,,,BKN,6000,,,,,,,SPECI, AO2
K6A2,2015-05-22T13:55:00Z,16.0,9.0,50,4,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2
KLYV,2015-05-22T13:54:00Z,15.0,5.0,0,0,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2
KBDG,2015-05-22T13:55:00Z,10.4,4.7,140,8,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO1 T01040047
KMRN,2015-05-22T13:55:00Z,16.4,3.1,310,3,,10.0,30.268702,,,,CLR,,,,,,,,METAR, AO2 T01640031
KBOS,2015-05-22T13:54:00Z,18.3,3.3,290,6,14,10.0,29.811024,,,,FEW,7500,,,,,,,METAR, AO2 SLP095 T01830033
KTRL,2015-05-22T13:53:00Z,15.6,10.6,90,12,17,10.0,30.188976,,,,BKN,2300,OVC,3300,,,,,METAR, AO2 SLP220 T01560106
KGVL,2015-05-22T13:53:00Z,16.7,7.8,50,6,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO2 SLP228 T01670078
KCOM,2015-05-22T13:55:00Z,15.8,15.8,140,6,,3.0,30.121063,,,BR,OVC,300,,,,,,,METAR, AO2 T01580158
KNY0,2015-05-22T13:50:00Z,13.3,4.3,280,9,19,10.0,29.878937,,,,SCT,3900,,,,,,,METAR, AO2 T01330043
KBGD,2015-05-22T13:51:00Z,11.1,10.0,160,5,,4.0,30.15059,,,BR,OVC,500,,,,,,,METAR, AO2 RAE13 CIG 003V008 SLP194 P0001 T01110100
KLHX,2015-05-22T13:53:00Z,11.1,7.2,160,7,,10.0,29.97933,,,,OVC,10000,,,,,,,METAR, AO2 SLP126 T01110072
KCDC,2015-05-22T13:53:00Z,11.1,-1.7,130,5,,10.0,29.929134,,,,BKN,8000,,,,,,,METAR, AO2 SLP088 T01111017
KBAC,2015-05-22T13:55:00Z,14.0,5.0,180,6,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2
K7N0,2015-05-22T14:15:00Z,,,20,5,,,30.171259,,,,OVC,1300,,,,,,,METAR, AO1
KHEF,2015-05-22T13:45:00Z,17.0,7.0,320,12,16,10.0,30.109253,,,,SKC,,,,,,,,METAR
KEET,2015-05-22T13:53:00Z,15.6,8.3,0,4,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2 SLP244 T01560083
KOTH,2015-05-22T13:55:00Z,12.0,11.0,330,4,,3.0,30.050198,,,,OVC,1600,,,,,,,METAR, AO1
KATL,2015-05-22T13:52:00Z,17.2,8.9,50,7,,10.0,30.209646,,,,SCT,25000,,,,,,,METAR, AO2 SLP227 T01720089
KFGN,2015-05-22T14:14:00Z,11.0,6.0,150,6,,10.0,30.15059,,,,SCT,9500,,,,,,,METAR, AO2
KHLR,2015-05-22T13:58:00Z,17.1,16.9,80,9,,3.0,30.121063,,,BR,OVC,300,,,,,,,METAR, AO2 SLP194 T01710169
KLAL,2015-05-22T13:50:00Z,28.0,21.0,10,7,,10.0,30.100393,,,,SKC,,,,,,,,METAR
KLCI,2015-05-22T13:55:00Z,17.0,1.0,250,5,,10.0,29.778543,,,,CLR,,,,,,,,METAR, AO1
KQEP,2015-05-22T14:10:00Z,17.0,4.0,170,1,,6.21,29.890747,,,,CLR,,,,,,,,METAR, A02 TSNO
KP58,2015-05-22T13:51:00Z,8.9,2.2,350,5,,,30.171259,,,,,,,,,,,,METAR, AO1 SLP218 T00890022
KVTP,2015-05-22T13:53:00Z,,,,,,0.25,30.121063,,,FG,OVC,200,,,,,,,METAR, AO2
KOLZ,2015-05-22T13:55:00Z,17.0,5.0,0,0,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2
KVQQ,2015-05-22T13:50:00Z,23.0,17.0,360,8,,10.0,30.121063,,,,CLR,,,,,,,,METAR
KCOU,2015-05-22T13:54:00Z,17.2,9.4,320,5,,10.0,30.250984,,,,CLR,,,,,,,,METAR, AO2 SLP242 T01720094
KLRJ,2015-05-22T13:55:00Z,15.0,8.0,0,0,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2
KCMH,2015-05-22T13:51:00Z,13.3,7.2,210,6,,10.0,30.159449,,,,CLR,,,,,,,,METAR, AO2 SLP215 T01330072
